doc_id,url,cache,text version,nature,published,entity,entity_type
1286/3d996_031bdca62d36f6fc43f2c53eb45966d54dcb7f78.pdf,https://www.velizy-villacoublay.fr/uploads/media/default/0001/14/031bdca62d36f6fc43f2c53eb45966d54dcb7f78.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/LORIA/1286/3d996_031bdca62d36f6fc43f2c53eb45966d54dcb7f78.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/LORIA/txt/1286/3d996_031bdca62d36f6fc43f2c53eb45966d54dcb7f78.pdf.txt,pv.cr,21/12/2022,Vélizy-Villacoublay,Commune
1038/ededb5073373170b7e05341b7c3ca6b48678e594_2022-12-PROCES-V,https://meslay-du-maine.fr/wp-content/uploads/2023/02/2022-12-PROCES-VERBAL.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/LORIA/1038/ededb5073373170b7e05341b7c3ca6b48678e594_2022-12-PROCES-V,https://datapolitics-public.s3.gra.io.cloud.ovh.net/LORIA/txt/1038/ededb5073373170b7e05341b7c3ca6b48678e594_2022-12-PROCES-V.txt,pv.cr,15/12/2022,Meslay-du-Maine,Commune
1821/1791b0d91e0fabc3e54271b402213dc72f2463c9_blois-cm-2022121,https://www.blois.fr/sites/default/files/media/downloads/blois-cm-20221212-pv.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/LORIA/1821/1791b0d91e0fabc3e54271b402213dc72f2463c9_blois-cm-2022121,https://datapolitics-public.s3.gra.io.cloud.ovh.net/LORIA/txt/1821/1791b0d91e0fabc3e54271b402213dc72f2463c9_blois-cm-2022121.txt,pv.full,12/12/2022,Blois,Commune
2773/0e662_Proc%C3%A8s%20Verbal%20du%2021.12.2022.pdf,https://www.agglo-compiegne.fr/sites/default/files/2023-03/Proc%C3%A8s%20Verbal%20du%2021.12.2022.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/LORIA/2773/0e662_Proc%C3%A8s%20Verbal%20du%2021.12.2022.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/LORIA/txt/2773/0e662_Proc%C3%A8s%20Verbal%20du%2021.12.2022.pdf.txt,pv.cr,21/12/2022,CA de la Région de Compiègne et de la Basse Automne,Intercommunalité
3155/98a29_RA_EUND_2022_INDUSTRIELS.pdf,https://www.hauts-de-seine.fr/fileadmin/user_upload/Mon_departement/01_Missions_et_actions/01.6_Eau_et_assainissement/Eaux_usees_non_domestiques/RA_EUND_2022_INDUSTRIELS.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/LORIA/3155/98a29_RA_EUND_2022_INDUSTRIELS.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/LORIA/txt/3155/98a29_RA_EUND_2022_INDUSTRIELS.pdf.txt,dlao.autres,16/12/2022,Hauts-de-Seine,Conseil départemental
1959/79601_Proc%C3%A8s-verbal_-_Conseil_municipal_du_7_d%C3%A9cembre_2022.pdf,https://www.bayonne.fr/fileadmin/medias/Publications/Deliberations/20221207/Proc%C3%A8s-verbal_-_Conseil_municipal_du_7_d%C3%A9cembre_2022.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/LORIA/1959/79601_Proc%C3%A8s-verbal_-_Conseil_municipal_du_7_d%C3%A9cembre_2022.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/LORIA/txt/1959/79601_Proc%C3%A8s-verbal_-_Conseil_municipal_du_7_d%C3%A9cembre_2022.pdf.txt,pv.cr,07/12/2022,Bayonne,Commune
2069/3d471_2022-174-Centre-Aquatique-Intercommunal-Recours-a-la-geothermie-par-sondes-seches.pdf,http://www.ccplateaudelannemezan.fr/wp-content/uploads/2022/12/2022-174-Centre-Aquatique-Intercommunal-Recours-a-la-geothermie-par-sondes-seches.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/LORIA/2069/3d471_2022-174-Centre-Aquatique-Intercommunal-Recours-a-la-geothermie-par-sondes-seches.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/LORIA/txt/2069/3d471_2022-174-Centre-Aquatique-Intercommunal-Recours-a-la-geothermie-par-sondes-seches.pdf.txt,acte.delib,02/12/2022,CC du Plateau de Lannemezan,Intercommunalité
833/4198d_DEL_2022_128_Décision-MRAe-Dispense-éval-envir-Modif-4-PLU-tampon.pdf,https://grigny91.fr/wp-content/uploads/2022/12/DEL_2022_128_Décision-MRAe-Dispense-éval-envir-Modif-4-PLU-tampon.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/LORIA/833/4198d_DEL_2022_128_Décision-MRAe-Dispense-éval-envir-Modif-4-PLU-tampon.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/LORIA/txt/833/4198d_DEL_2022_128_Décision-MRAe-Dispense-éval-envir-Modif-4-PLU-tampon.pdf.txt,acte.arrete,19/12/2022,Grigny,Commune
2983/ae1b6_Decembre_2022.pdf,https://www.coeurdebrenne.fr/fileadmin/pdf/deliberations/2022/Decembre_2022.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/LORIA/2983/ae1b6_Decembre_2022.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/LORIA/txt/2983/ae1b6_Decembre_2022.pdf.txt,pv.cr,13/12/2022,CC Coeur de Brenne,Intercommunalité
1469/b074e_liste-decisions_CM_17-12-2022_d%C3%A9cisions.pdf,https://www.nimes.fr/fileadmin/user_upload/Actes_Administratifs/D%C3%A9cisions/liste-decisions_CM_17-12-2022_d%C3%A9cisions.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/LORIA/1469/b074e_liste-decisions_CM_17-12-2022_d%C3%A9cisions.pdf,https://datapolitics-public.s3.gra.io.cloud.ovh.net/LORIA/txt/1469/b074e_liste-decisions_CM_17-12-2022_d%C3%A9cisions.pdf.txt,acte.arrete,17/12/2022,Nîmes,Commune
